Department of Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export Import Data Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export :: Country-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,Country,2008-2009,%Share,2009-2010,%Share,2010-2011,%Share,2011-2012,%Share,2012-2013,%Share,2013-2014,%Share,2014-2015,%Share,2015-2016,%Share,2016-2017,%Share,2017-2018,%Share,2018-2019,%Share,2019-2020,%Share,2020-2021,%Share,2021-2022,%Share,2022-2023,%Share,2023-2024,%Share,2024-2025,%Share
45,CHINA P RP,"42,66,133.36",5.0742,"54,71,392.87",6.4709,533.82,0.0005,"87,47,082.09",5.9668,"73,52,956.23",4.4991,"90,56,108.68",4.7538,"73,03,043.30",3.8511,"58,93,941.16",3.4339,"5,25,985.14",0.2844,"6,05,414.89",0.3094,"7,81,087.66",0.3385,"7,39,768.53",0.3333,0.43,0,,,,,2.84,0,,
46,CHRISTMAS IS.,96.56,0.0001,741.68,0.0009,421.76,0.0004,8.9,0,15.02,0,4.47,0,5.78,0,,,"13,911.10",0.0075,"19,156.60",0.0098,"13,451.57",0.0058,"13,383.88",0.006,"6,38,459.93",0.2957,"10,26,657.94",0.3262,9.63,0,10.53,0,"1,88,796.09",0.3018
47,COCOS IS,0.72,0,2.97,0,"2,55,501.72",0.2247,388.57,0.0003,27.01,0,2.94,0,"6,76,247.92",0.3566,"5,79,540.33",0.3377,"1,33,524.30",0.0722,"1,45,082.49",0.0742,"2,12,269.13",0.092,"2,50,052.37",0.1126,"13,491.35",0.0062,"17,207.29",0.0055,"11,58,746.81",0.32,"10,09,130.38",0.2788,"3,222.87",0.0052
48,COLOMBIA,"1,68,762.56",0.2007,"1,84,004.33",0.2176,"3,922.13",0.0034,"4,29,357.34",0.2929,"4,96,577.53",0.3038,"6,11,532.15",0.321,"10,845.16",0.0057,"11,166.88",0.0065,"90,969.45",0.0492,"75,221.74",0.0384,"93,316.20",0.0404,"80,060.37",0.0361,"3,17,983.26",0.1473,"4,23,430.26",0.1345,"32,288.85",0.0089,"23,162.06",0.0064,"74,849.96",0.1196
49,COMOROS,"11,732.01",0.014,"4,396.85",0.0052,"3,057.76",0.0027,"5,278.34",0.0036,"11,255.99",0.0069,"8,242.06",0.0043,"1,55,942.87",0.0822,"2,08,515.52",0.1215,99.78,0.0001,115.45,0.0001,188.07,0.0001,222.47,0.0001,"81,208.48",0.0376,"1,20,169.53",0.0382,"5,06,600.44",0.1399,"4,80,453.10",0.1327,"16,892.35",0.027
50,CONGO D. REP.,"7,048.26",0.0084,"4,719.24",0.0056,"1,10,032.04",0.0968,"3,500.89",0.0024,"80,408.96",0.0492,"1,09,909.99",0.0577,"1,55,249.68",0.0819,"1,08,920.56",0.0635,"1,06,857.27",0.0578,"86,050.76",0.044,"95,309.61",0.0413,"89,796.63",0.0405,53.21,0,29.74,0,"1,43,740.80",0.0397,"1,45,814.57",0.0403,37.83,0.0001
51,CONGO P REP,"96,329.64",0.1146,"93,001.51",0.11,19.15,0,"1,63,664.34",0.1116,"1,08,263.56",0.0662,"1,27,545.79",0.067,195.84,0.0001,33.24,0,"2,81,166.66",0.152,"3,29,774.15",0.1686,"3,14,651.64",0.1363,"2,94,060.46",0.1325,"84,385.09",0.0391,"1,09,968.20",0.0349,110.41,0,189.5,0.0001,"29,146.60",0.0466
52,COOK IS,60,0.0001,13.8,0,"27,946.51",0.0246,56.44,0,25.19,0,55.55,0,"58,645.14",0.0309,"88,389.52",0.0515,"83,111.48",0.0449,"1,08,704.13",0.0556,"1,07,434.84",0.0466,"1,04,320.49",0.047,"4,33,112.81",0.2006,"5,42,890.91",0.1725,"1,54,744.75",0.0427,"1,52,144.74",0.042,"1,36,150.47",0.2176
53,COSTA RICA,"15,711.43",0.0187,"15,291.43",0.0181,"42,902.28",0.0377,"31,618.59",0.0216,"40,521.13",0.0248,"49,245.76",0.0259,"1,89,741.84",0.1001,"2,60,227.48",0.1516,"27,961.14",0.0151,"26,951.47",0.0138,"24,432.11",0.0106,"33,653.17",0.0152,"1,04,974.55",0.0486,"3,70,028.05",0.1176,"7,15,413.80",0.1975,"5,67,330.33",0.1568,"33,489.84",0.0535
54,COTE D' IVOIRE,"43,288.06",0.0515,"57,793.45",0.0684,"44,468.17",0.0391,"1,39,751.28",0.0953,"2,15,416.41",0.1318,"1,81,440.77",0.0952,"1,08,318.51",0.0571,"73,669.50",0.0429,,,0.09,0,"49,465.68",0.0214,"3,08,907.42",0.1392,"15,095.39",0.007,"19,720.13",0.0063,"2,68,759.08",0.0742,"1,93,147.99",0.0534,"1,325.47",0.0021
